id,file,source_file,group,habitat,season,func,element,quality_status,problem_flags,batch,qa_sheet,width,height,tags,ko,en,scientific_name,source_manifest,source_policy
bio_0011,data/species_codex/generated/pixel_art_assets/slices/bio_0011_common_yarrow.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0011_common_yarrow.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,192,204,"flower,meadow,spring,seed,sun",서양톱풀,common yarrow,Achillea millefolium,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0012,data/species_codex/generated/pixel_art_assets/slices/bio_0012_red_clover.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0012_red_clover.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,189,201,"flower,meadow,spring,seed,sun",붉은토끼풀,Red Clover,Trifolium pratense,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0013,data/species_codex/generated/pixel_art_assets/slices/bio_0013_garlic_mustard.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0013_garlic_mustard.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,183,209,"flower,meadow,spring,seed,sun",마늘냉이,garlic mustard,Alliaria petiolata,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0014,data/species_codex/generated/pixel_art_assets/slices/bio_0014_ground_ivy.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0014_ground_ivy.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,196,191,"flower,meadow,spring,seed,sun",ground-ivy (Glechoma hederacea),ground-ivy,Glechoma hederacea,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0015,data/species_codex/generated/pixel_art_assets/slices/bio_0015_wild_carrot.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0015_wild_carrot.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,192,208,"flower,meadow,spring,seed,sun",산당근,wild carrot,Daucus carota,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0016,data/species_codex/generated/pixel_art_assets/slices/bio_0016_lesser_celandine.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0016_lesser_celandine.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,192,202,"flower,meadow,spring,seed,sun",lesser celandine (Ficaria verna),lesser celandine,Ficaria verna,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0017,data/species_codex/generated/pixel_art_assets/slices/bio_0017_ribwort_plantain.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0017_ribwort_plantain.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,197,203,"flower,meadow,spring,seed,sun",창질경이,ribwort plantain,Plantago lanceolata,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0018,data/species_codex/generated/pixel_art_assets/slices/bio_0018_common_selfheal.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0018_common_selfheal.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,169,211,"flower,meadow,spring,seed,sun",두메꿀풀,common selfheal,Prunella vulgaris,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0019,data/species_codex/generated/pixel_art_assets/slices/bio_0019_box_elder.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0019_box_elder.png,tree,forest,autumn,collection,wind,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,222,208,"tree,forest,autumn,collection,wind",네군도단풍,box elder,Acer negundo,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0020,data/species_codex/generated/pixel_art_assets/slices/bio_0020_great_mullein.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0020_great_mullein.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,177,226,"flower,meadow,spring,seed,sun",우단담배풀,great mullein,Verbascum thapsus,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0021,data/species_codex/generated/pixel_art_assets/slices/bio_0021_common_ivy.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0021_common_ivy.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,201,215,"flower,meadow,spring,seed,sun",서양송악,common ivy,Hedera helix,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0022,data/species_codex/generated/pixel_art_assets/slices/bio_0327_cornflower.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0327_cornflower.png,flower,meadow,spring,seed,sun,pass,,14,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_14.png,173,211,"flower,meadow,spring,seed,sun",서양가시엉겅퀴,Bull Thistle,Cirsium vulgare,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed substitute from bio_0327; damaged bull thistle sprite replaced without programmatic drawing
bio_0023,data/species_codex/generated/pixel_art_assets/slices/bio_0023_common_milkweed.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0023_common_milkweed.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,204,225,"flower,meadow,spring,seed,sun",common milkweed (Asclepias syriaca),common milkweed,Asclepias syriaca,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0024,data/species_codex/generated/pixel_art_assets/slices/bio_0024_red_deadnettle.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0024_red_deadnettle.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,194,210,"flower,meadow,spring,seed,sun",자주광대나물,red deadnettle,Lamium purpureum,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0025,data/species_codex/generated/pixel_art_assets/slices/bio_0025_chicory.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0025_chicory.png,flower,meadow,spring,seed,sun,pass,,1,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_01.png,198,215,"flower,meadow,spring,seed,sun",치커리,chicory,Cichorium intybus,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0026,data/species_codex/generated/pixel_art_assets/slices/bio_0026_american_pokeweed.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0026_american_pokeweed.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,203,222,"flower,meadow,spring,seed,sun",미국자리공,American pokeweed,Phytolacca americana,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0027,data/species_codex/generated/pixel_art_assets/slices/bio_0027_creeping_thistle.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0027_creeping_thistle.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,190,205,"flower,meadow,spring,seed,sun",조뱅이,creeping thistle,Cirsium arvense,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0028,data/species_codex/generated/pixel_art_assets/slices/bio_0028_red_maple.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0028_red_maple.png,tree,forest,autumn,collection,wind,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,190,208,"tree,forest,autumn,collection,wind",red maple (Acer rubrum),red maple,Acer rubrum,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0029,data/species_codex/generated/pixel_art_assets/slices/bio_0029_eastern_poison_ivy.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0029_eastern_poison_ivy.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,204,204,"flower,meadow,spring,seed,sun",eastern poison ivy (Toxicodendron radicans),eastern poison ivy,Toxicodendron radicans,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0030,data/species_codex/generated/pixel_art_assets/slices/bio_0030_lawn_daisy.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0030_lawn_daisy.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,163,201,"flower,meadow,spring,seed,sun",데이지,Lawn daisy,Bellis perennis,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0031,data/species_codex/generated/pixel_art_assets/slices/bio_0031_virginia_creeper.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0031_virginia_creeper.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,204,206,"flower,meadow,spring,seed,sun",미국담쟁이덩굴,Virginia creeper,Parthenocissus quinquefolia,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0032,data/species_codex/generated/pixel_art_assets/slices/bio_0032_fireweed.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0032_fireweed.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,169,230,"flower,meadow,spring,seed,sun",분홍바늘꽃,fireweed,Chamaenerion angustifolium,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0033,data/species_codex/generated/pixel_art_assets/slices/bio_0033_great_stinging_nettle.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0033_great_stinging_nettle.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,198,212,"flower,meadow,spring,seed,sun",great stinging nettle (Urtica dioica),great stinging nettle,Urtica dioica,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0034,data/species_codex/generated/pixel_art_assets/slices/bio_0034_herb_robert.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0034_herb_robert.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,183,209,"flower,meadow,spring,seed,sun",Herb Robert (Geranium robertianum),Herb Robert,Geranium robertianum,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0035,data/species_codex/generated/pixel_art_assets/slices/bio_0035_bird_s_foot_trefoil.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0035_bird_s_foot_trefoil.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,181,208,"flower,meadow,spring,seed,sun",서양벌노랑이,bird's-foot trefoil,Lotus corniculatus,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0036,data/species_codex/generated/pixel_art_assets/slices/bio_0036_common_mugwort.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0036_common_mugwort.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,184,206,"flower,meadow,spring,seed,sun",common mugwort (Artemisia vulgaris),common mugwort,Artemisia vulgaris,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0037,data/species_codex/generated/pixel_art_assets/slices/bio_0037_norway_maple.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0037_norway_maple.png,tree,forest,autumn,collection,wind,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,202,203,"tree,forest,autumn,collection,wind",Norway maple (Acer platanoides),Norway maple,Acer platanoides,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0038,data/species_codex/generated/pixel_art_assets/slices/bio_0038_eastern_white_pine.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0038_eastern_white_pine.png,tree,forest,winter,shelter,earth,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,188,190,"tree,forest,winter,shelter,earth",스트로브잣나무,eastern white pine,Pinus strobus,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0039,data/species_codex/generated/pixel_art_assets/slices/bio_0039_oxeye_daisy.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0039_oxeye_daisy.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,173,197,"flower,meadow,spring,seed,sun",불란서국화,oxeye daisy,Leucanthemum vulgare,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0040,data/species_codex/generated/pixel_art_assets/slices/bio_0040_catchweed_bedstraw.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0040_catchweed_bedstraw.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,170,204,"flower,meadow,spring,seed,sun",나도갈퀴덩굴,catchweed bedstraw,Galium aparine,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0041,data/species_codex/generated/pixel_art_assets/slices/bio_0041_colt_s_foot.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0041_colt_s_foot.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,163,200,"flower,meadow,spring,seed,sun",colt's-foot (Tussilago farfara),colt's-foot,Tussilago farfara,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0042,data/species_codex/generated/pixel_art_assets/slices/bio_0042_purple_loosestrife.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0042_purple_loosestrife.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,150,230,"flower,meadow,spring,seed,sun",털부처꽃,purple loosestrife,Lythrum salicaria,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0043,data/species_codex/generated/pixel_art_assets/slices/bio_0043_greater_celandine.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0043_greater_celandine.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,195,203,"flower,meadow,spring,seed,sun",Greater celandine (Chelidonium majus),Greater celandine,Chelidonium majus,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0044,data/species_codex/generated/pixel_art_assets/slices/bio_0044_common_jewelweed.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0044_common_jewelweed.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,191,198,"flower,meadow,spring,seed,sun",common jewelweed (Impatiens capensis),common jewelweed,Impatiens capensis,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0045,data/species_codex/generated/pixel_art_assets/slices/bio_0045_black_locust.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0045_black_locust.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,209,202,"flower,meadow,spring,seed,sun",아까시나무,black locust,Robinia pseudoacacia,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0046,data/species_codex/generated/pixel_art_assets/slices/bio_0046_multiflora_rose.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0046_multiflora_rose.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,209,220,"flower,meadow,spring,seed,sun",찔레나무,multiflora rose,Rosa multiflora,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0047,data/species_codex/generated/pixel_art_assets/slices/bio_0047_black_cherry.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0047_black_cherry.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,201,203,"flower,meadow,spring,seed,sun",세로티나벚나무,black cherry,Prunus serotina,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0048,data/species_codex/generated/pixel_art_assets/slices/bio_0048_bird_s_eye_speedwell.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0048_bird_s_eye_speedwell.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,170,202,"flower,meadow,spring,seed,sun",큰개불알풀,bird's-eye speedwell,Veronica persica,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0049,data/species_codex/generated/pixel_art_assets/slices/bio_0049_redstem_stork_s_bill.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0049_redstem_stork_s_bill.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,218,235,"flower,meadow,spring,seed,sun",Redstem Stork's-bill (Erodium cicutarium),Redstem Stork's-bill,Erodium cicutarium,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0050,data/species_codex/generated/pixel_art_assets/slices/bio_0050_american_beech.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0050_american_beech.png,flower,meadow,spring,seed,sun,pass,,2,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_02.png,174,227,"flower,meadow,spring,seed,sun",American beech (Fagus grandifolia),American beech,Fagus grandifolia,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0051,data/species_codex/generated/pixel_art_assets/slices/bio_0051_field_bindweed.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0051_field_bindweed.png,flower,meadow,spring,seed,sun,pass,,3,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_03.png,187,188,"flower,meadow,spring,seed,sun",서양메꽃,field bindweed,Convolvulus arvensis,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0052,data/species_codex/generated/pixel_art_assets/slices/bio_0052_horseweed.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0052_horseweed.png,flower,meadow,spring,seed,sun,pass,,3,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_03.png,131,220,"flower,meadow,spring,seed,sun",망초,horseweed,Erigeron canadensis,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0053,data/species_codex/generated/pixel_art_assets/slices/bio_0053_common_st_john_s_wort.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0053_common_st_john_s_wort.png,flower,meadow,spring,seed,sun,pass,,3,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_03.png,196,204,"flower,meadow,spring,seed,sun",서양고추나물,Common St. John's Wort,Hypericum perforatum,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
bio_0054,data/species_codex/generated/pixel_art_assets/slices/bio_0054_greater_plantain.png,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/slices/bio_0054_greater_plantain.png,flower,meadow,spring,seed,sun,pass,,3,data/species_codex/generated/pixel_art_assets/review_contact_sheets/batch_03.png,194,228,"flower,meadow,spring,seed,sun",왕질경이,greater plantain,Plantago major,prototype/emoji_garden/data/species_codex/generated/pixel_art_assets/manifest.csv,source-backed reuse; no programmatic illustration drawing
